id_caso,código_dane_de_municipio,municipio,departamento,año,mes,día,id_persona,sexo,etnia,ocupación,caletera,campanera,cocinera,comandante,combatiente,contabilidad,entrenamiento,escolta,extorsiones,fabricación_de_otras_armas_no_convencionales,fabricación_y/o_siembra_de_minas_antipersonal,guardia,informante,patrullera,radio_operaciones,raspachín,servicios_de_salud,sicariato,trabajo_organizativo,tráfico_de_estupefacientes,transporte_de_armas,sin_información_de_oficios_realizados,otro_oficio_realizado,edad,latitud,longitud,fecha
313673,13688,SANTA ROSA DEL SUR,BOLIVAR,2007,11,6,355105,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2007-11-06
313674,13688,SANTA ROSA DEL SUR,BOLIVAR,2007,11,11,355106,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2007-11-11
313674,13688,SANTA ROSA DEL SUR,BOLIVAR,2007,11,11,355107,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2007-11-11
313674,13688,SANTA ROSA DEL SUR,BOLIVAR,2007,11,11,355108,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2007-11-11
313674,13688,SANTA ROSA DEL SUR,BOLIVAR,2007,11,11,355109,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2007-11-11
313679,13688,SANTA ROSA DEL SUR,BOLIVAR,2009,10,1,355111,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2009-10-01
313680,13688,SANTA ROSA DEL SUR,BOLIVAR,2010,6,20,355112,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2010-06-20
313681,13688,SANTA ROSA DEL SUR,BOLIVAR,2010,8,15,355113,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2010-08-15
313682,13688,SANTA ROSA DEL SUR,BOLIVAR,2011,4,27,355114,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.772519173,-74.262728426,2011-04-27
313700,13688,SANTA ROSA DEL SUR,BOLIVAR,2003,5,21,355132,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,INFANCIA (6-11 AÑOS),7.772519173,-74.262728426,2003-05-21
